uprn,class,parent_uprn,latitude,longitude,country,legal_name,sub_building_name,building_name,building_number,sao_start_number,sao_start_suffix,sao_end_number,sao_end_suffix,sao_text,pao_start_number,pao_start_suffix,pao_end_number,pao_end_suffix,pao_text,street_description,dependent_locality,locality,town_name,administrative_area,post_town,postcode,postcode_locator,parsed_address1,parsed_address2
5300082018,PP,0,51.5620616,-0.1100453,E,0,0,0,190,0,0,0,0,0,190,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"190, SEVEN SISTERS ROAD","190, SEVEN SISTERS ROAD"
5300082025,CR,0,51.5621683,-0.1099687,E,0,0,0,194,0,0,0,0,0,194,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"194, SEVEN SISTERS ROAD","194, SEVEN SISTERS ROAD"
5300082029,C,10093623323,51.5621848,-0.1098815,E,0,0,0,196,0,0,0,0,GROUND FLOOR,196,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"GROUND FLOOR, 196, SEVEN SISTERS ROAD","196, SEVEN SISTERS ROAD"
10012793049,PP,0,51.5622106,-0.1098083,E,0,0,0,198,0,0,0,0,0,198,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"198, SEVEN SISTERS ROAD","198, SEVEN SISTERS ROAD"
5300082037,PP,0,51.5622182,-0.1097214,E,0,0,0,200,0,0,0,0,0,200,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"200, SEVEN SISTERS ROAD","200, SEVEN SISTERS ROAD"
10012789658,PP,0,51.562244,-0.1096482,E,0,0,0,202,0,0,0,0,0,202,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"202, SEVEN SISTERS ROAD","202, SEVEN SISTERS ROAD"
5300082042,PP,0,51.5622519,-0.1095757,E,0,0,0,204,0,0,0,0,0,204,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"204, SEVEN SISTERS ROAD","204, SEVEN SISTERS ROAD"
5300082049,CR08,10091003514,51.5623415,-0.1095576,E,0,0,0,206,0,0,0,0,GROUND FLOOR,206,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"GROUND FLOOR, 206, SEVEN SISTERS ROAD","206, SEVEN SISTERS ROAD"
5300082053,PP,0,51.5623124,-0.1094289,E,0,0,0,208,0,0,0,0,0,208,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"208, SEVEN SISTERS ROAD","208, SEVEN SISTERS ROAD"
10012789664,PP,0,51.5623385,-0.1093701,E,0,0,0,210,0,0,0,0,0,210,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"210, SEVEN SISTERS ROAD","210, SEVEN SISTERS ROAD"
5300082058,CR08,10012791199,51.562364,-0.1092825,E,0,0,0,212,0,0,0,0,BASEMENT AND GROUND FLOOR,212,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"BASEMENT AND GROUND FLOOR, 212, SEVEN SISTERS ROAD","212, SEVEN SISTERS ROAD"
10094609274,PP,0,51.5623901,-0.1092237,E,0,0,0,214,0,0,0,0,0,214,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"214, SEVEN SISTERS ROAD","214, SEVEN SISTERS ROAD"
5300082070,L,0,51.5625377,-0.1089002,E,0,0,0,216,0,0,0,0,0,216,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"216, SEVEN SISTERS ROAD","216, SEVEN SISTERS ROAD"
5300082079,PP,0,51.5626499,-0.108607,E,0,0,0,224,0,0,0,0,0,224,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"224, SEVEN SISTERS ROAD","224, SEVEN SISTERS ROAD"
10008977751,CR08,5300082081,51.5626754,-0.1085194,E,0,UNIT 1,0,226,0,0,0,0,UNIT 1,226,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"UNIT 1, 226, SEVEN SISTERS ROAD","UNIT 1, 226, SEVEN SISTERS ROAD"
5300082081,PP,0,51.5626754,-0.1085194,E,0,0,0,226,0,0,0,0,0,226,0,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"226, SEVEN SISTERS ROAD","226, SEVEN SISTERS ROAD"
10001295364,PP,0,51.5627358,-0.1083582,E,0,0,0,230,0,0,0,0,0,228,0,230,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"228, SEVEN SISTERS ROAD","230, SEVEN SISTERS ROAD"
10094612924,C,10001295364,51.5627358,-0.1083582,E,0,0,0,<NA>,0,0,0,0,ROOM 4,228,0,230,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,0,0,N4 3NX,"ROOM 4, 228, SEVEN SISTERS ROAD",SEVEN SISTERS ROAD
10091005611,CO01,0,51.5628132,-0.1081385,E,0,0,232B,<NA>,0,0,0,0,0,232,B,0,0,0,SEVEN SISTERS ROAD,0,0,LONDON,ISLINGTON,LONDON,N4 3NX,N4 3NX,"232, SEVEN SISTERS ROAD","232B, SEVEN SISTERS ROAD"
