,uprn,class,parent_uprn,latitude,longitude,country,legal_name,sub_building_name,building_name,building_number,sao_start_number,sao_start_suffix,sao_end_number,sao_end_suffix,sao_text,pao_start_number,pao_start_suffix,pao_end_number,pao_end_suffix,pao_text,street_description,dependent_locality,locality,town_name,administrative_area,post_town,postcode,postcode_locator,parsed_address
4221808,48085970,CI03,,51.3935109,-0.1620757,E,,,,1,,,,,,1,,,,,WILLOW LANE,,,MITCHAM,MERTON,MITCHAM,CR4 4NA,CR4 4NA,"1, 1.0, WILLOW LANE"
4054601,48117025,CI03,48103046,51.3929863,-0.1625018,E,,UNIT 16,11-Jan,<NA>,,,,,UNIT 15,3,,9,,,WILLOW LANE,,,MITCHAM,MERTON,MITCHAM,CR4 4NA,CR4 4NA,"UNIT 16, 1-11, UNIT 15, 3.0, 9.0, WILLOW LANE"
4062973,48117022,CI03,48103046,51.3929863,-0.1625018,E,,,,<NA>,,,,,UNIT 12 AND 18,3,,9,,,WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"UNIT 12 AND 18, 3.0, 9.0, WILLOW LANE"
4074070,10091894616,OR04,48116214,51.3929863,-0.1625018,E,,UNIT 3,11-Jan,<NA>,,,,,UNIT 3 S V A CAR LAMPS & BODY PANELS,3,,9,,,WILLOW LANE,,,MITCHAM,MERTON,MITCHAM,CR4 4NA,CR4 4NA,"UNIT 3, 1-11, UNIT 3 S V A CAR LAMPS & BODY PANELS, 3.0, 9.0, WILLOW LANE"
4086063,48130055,CI04,48117026,51.3929863,-0.1625018,E,,,,<NA>,,,,,SECOND AND THIRD FLOOR,3,,9,,,WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"SECOND AND THIRD FLOOR, 3.0, 9.0, WILLOW LANE"
4090260,48116216,CI03,48103046,51.3929863,-0.1625018,E,,UNIT 5,FALCON BUSINESS CENTRE,<NA>,,,,,UNIT 5,3,,9,,,WILLOW LANE,,,MITCHAM,MERTON,MITCHAM,CR4 4NA,CR4 4NA,"UNIT 5, FALCON BUSINESS CENTRE, UNIT 5, 3.0, 9.0, WILLOW LANE"
4093307,48117030,CI03,48103046,51.3929863,-0.1625018,E,,,,<NA>,,,,,UNIT 20,3,,9,,,WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"UNIT 20, 3.0, 9.0, WILLOW LANE"
4096724,10094252865,CI04,48103046,51.3929863,-0.1625018,E,,,,<NA>,,,,,UNIT 1A,3,,9,,WILLOW LANE BUSINESS PARK,WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"UNIT 1A, 3.0, 9.0, WILLOW LANE BUSINESS PARK, WILLOW LANE"
4097898,48103046,PP,48128510,51.3929863,-0.1625018,E,,,,<NA>,,,,,WILLOW LANE BUSINESS PARK,3,,9,,,WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"WILLOW LANE BUSINESS PARK, 3.0, 9.0, WILLOW LANE"
4106412,48117026,CI03,48103046,51.3929863,-0.1625018,E,,,,<NA>,,,,,UNIT 16,3,,9,,,WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"UNIT 16, 3.0, 9.0, WILLOW LANE"
4127760,48116217,CI03,48103046,51.3929863,-0.1625018,E,,,,<NA>,,,,,UNIT 6,3,,9,,,WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"UNIT 6, 3.0, 9.0, WILLOW LANE"
4128243,48117023,CI03,48103046,51.3929863,-0.1625018,E,,,,<NA>,,,,,UNIT 13,3,,9,,,WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"UNIT 13, 3.0, 9.0, WILLOW LANE"
4129470,48124034,CT03,48117018,51.3929863,-0.1625018,E,,,,<NA>,,,,,CAR PARK SPACE AT UNIT 8,3,,9,,,WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"CAR PARK SPACE AT UNIT 8, 3.0, 9.0, WILLOW LANE"
4129584,48103048,CI04,48128510,51.3928861,-0.1612697,E,,,,<NA>,,,,,GLENSIDE COMMERCIALS REAR OF,3,,9,,,WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"GLENSIDE COMMERCIALS REAR OF, 3.0, 9.0, WILLOW LANE"
4132996,48130318,CU06,48128510,51.3930513,-0.1626286,E,,,,<NA>,,,,,COMMUNICATIONS EQUIPEMENT ON ROOF,3,,9,,,WILLOW LANE,,,MITCHAM,MERTON,,,CR4 4NA,"COMMUNICATIONS EQUIPEMENT ON ROOF, 3.0, 9.0, WILLOW LANE"
